music,Paramusic Records,Dundas Street East,
copyshop,Victoria Copy & Printing,Dundas Street East,
wine,Wine Rack,Dundas Street East,
car_repair,Canadian Tire Auto Repair,Albion Road,
car_repair,North Queen Auto Centre,North Queen Street,
convenience,Puwan Convenience Store,Sammon Avenue,
supermarket,Metro,Bathurst Street,
bed,Sleep Country,York Mills Road,
copyshop,Printing & Copying,Queens Quay West,
mobile_phone,Rogers,Queens Quay West,
supermarket,Valu-mart,Underhill Drive,
hairdresser,Donwood Men's Hairstylist,Underhill Drive,
car_repair,3 Valleys,Three Valleys Drive,
car_repair,Mr. Lube,Victoria Park Avenue,
supermarket,Rabba,Asquith Avenue,
supermarket,Foodland,Islington Avenue,
convenience,Sam's Milk & Variety Market,Birchmount Road,
supermarket,Sun Valley Foods,Danforth Road,
supermarket,Field Fresh Supermarket,Steeles Avenue East,
car,Toyota Lexus on the Park,Leslie Street,
bicycle,Cyclemania,Bloor Street West,
alcohol,LCBO,Bloor Street West,
hairdresser,Hair Focus,Don Mills Road,
houseware,Peppermills,Yonge Street,
convenience,Hasty Market,Bremner Boulevard,
supermarket,McEwan,Karl Fraser Road,
supermarket,Longo's,Elizabeth Street,
supermarket,Sao Miguel Grocery's LTD,Harvie Avenue,
money_lender,Money Mart,St. Clair Avenue West,
convenience,Jug Town,St. Clair Avenue West,
bakery,Nova Era,St. Clair Avenue West,
cannabis,Trees Cannabis,St. Clair Avenue West,
storage_rental,Smartstop Self Storage,Dufferin Street,
convenience,Alpha Variety,Logan Avenue,
convenience,Mary's Variety & Grocery Store,Broadview Avenue,
money_lender,Cash 4 You,Gerrard Street East,
convenience,Gardenview Convenience,Queen Street West,
hairdresser,Hair Sprung Salon & Esthetics,Dundas Street West,
houseware,High Park Appliances,Dundas Street West,
bakery,Solero Medditerranean Bakery,Dundas Street West,
clothes,Coal Miner's Daughter,Dundas Street West,
stationery,Take Note,Dundas Street West,
bicycle,Cyclemotive,Bathurst Street,
lighting,Living Lighting,Yonge Street,
convenience,Alex Convenience,Yonge Street,
toys,Mastermind Toys,Yonge Street,
convenience,Woodmount Variety,Woodmount Avenue,
convenience,Grange Green Farms,McCaul Street,
bicycle,Velotique,Queen Street East,
nutrition_supplements,Sensitiva,Queen Street West,
supermarket,Kitchen Table,King Street West,
food,Taro's Fish,Sheppard Avenue East,
hairdresser,The Underground,Sheppard Avenue East,
computer,Roncesvalles Apple Specialist,Roncesvalles Avenue,
books,She Said Boom,Roncesvalles Avenue,
hardware,Home Hardware,Roncesvalles Avenue,
books,A Good Read,Roncesvalles Avenue,
convenience,Master Supermarket,Roncesvalles Avenue,
books,Another Story Bookshop,Roncesvalles Avenue,
gift,Izibele,Roncesvalles Avenue,
supermarket,Maple Produce,Roncesvalles Avenue,
convenience,Jac's Milk,Roncesvalles Avenue,
supermarket,Sobeys Express,Roncesvalles Avenue,
clothes,Muttonhead Base Camp,Roncesvalles Avenue,
greengrocer,Ko Fruit Market,Roncesvalles Avenue,
greengrocer,Pearson Fruit Market,Roncesvalles Avenue,
supermarket,Rabba,Isabella Street,
books,She Said Boom,College Street,
bakery,HongKong Island Dim Sum House,Spadina Avenue,
cheese,Cheesyplace,Bloor Street West,
supermarket,Loblaws,St. Clair Avenue East,
vacant,Starbucks,Eglinton Avenue East,
vacant,La Latina,Eglinton Avenue East,
clothes,Zara,Queen Street West,
convenience,Rabba,Harrison Garden Boulevard,
variety_store,Super Discount Store,Eglinton Avenue East,
convenience,Markham Variety,Markham Road,
car_repair,Kavin 10 Min Oil Change,Kingston Road,
alcohol,LCBO,Avenue Road,
copyshop,Printland Digital Printing Solutions,Yonge Street,
convenience,Little Bee Mart,Annette Street,
laundry,King Coin Laundry,Bloor Street West,
supermarket,No Frills,King Street West,
convenience,Beach Convenience,Queen Street East,
bakery,Hot Oven Bakery,Bloor Street West,
beauty,The Ten Spot,Bloor Street West,
bakery,Danish Pastry Shop,Pape Avenue,
car_repair,John's Service,Gerrard Street East,
supermarket,Sobeys,Marlee Avenue,
convenience,Circle K,Dupont Street,
hearing_aids,Connect Hearing,Lawrence Avenue East,
hairdresser,Magicuts,Lawrence Avenue East,
cannabis,Spiritleaf,Lawrence Avenue East,
laundry,Magic Touch Coin Laundry,Bathurst Street,
convenience,A & T Fruit Market,Bathurst Street,
convenience,J's Variety,Yonge Street,
dry_cleaning,Urban Cleaners,Northtown Way,
beauty,Flirty Flowers Lash & Brow,Mount Pleasant Road,
massage,Hand & Stone Massage and Facial Spa,Lawrence Avenue East,
bakery,Lebanese Bakery,Birchmount Road,
greengrocer,Dick Young Market,Bedford Park Avenue,
shoes,Foot Locker,Sheppard Avenue East,
sports,Sporting Life,The West Mall,
electronics,Canada Computers & Electronics,Yonge Street,
